Webflow_ID,Webflow_Slug,Service_Name,Bookla_ServiceID,Duration_Minutes,Price_EUR,Category_Slug,Bookla_CategoryID,Resource_Slug,Bookla_ResourceID,Capacity_Spots,Visible,Option_Extra_Slug,Option_Extra_Price,Option_Extra_Duration,Bookla_UpdatedAt,Notes_Internal,Service_Type,Service_Type_ID
690a322398752731f08f78dd,french-curl-long,"French curl Long",843555aa-ef5c-4053-b3a1-0a6b7b825ea3,240,150,,,,,1,TRUE,,0,0,,,French curl,68d906594814d0df92c08692
690a32236d5d9efae3c0f45b,french-curl-long,"French curl Long",8f4242b4-303e-45f6-a7b4-bc8162600fe7,240,150,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a32232fcb220ca72876c0,french-curl-long,"French curl Long",757ffbe0-830e-43d3-93bb-0b9373103aee,240,150,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3223bf086dbe4e37f1b5,french-curl-long,"French curl Long",c0a4237e-6344-4291-b108-fda7061bef30,240,150,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a3224a1a0b8e10973e37b,fulani-mi-tete,"Fulani Mi-tête",7c599572-e853-4d6a-b1c0-b9b810b05bbb,120,70,,,,,1,TRUE,,0,0,,,Fulani,6904908506411ca2508ad6e5
690a3224ec5fd1dc6ce512c4,fulani-mi-tete,"Fulani Mi-tête",4d9b1d21-5913-4dcd-aa69-2feb74420adc,120,70,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a32248a91107c69aed20f,fulani-mi-tete,"Fulani Mi-tête",7b488b54-97c5-404e-a8b2-aa90b804846c,120,70,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3224ea6ad0beaa1a8765,fulani-mi-tete,"Fulani Mi-tête",79262069-14e2-46bc-a810-8e13a2502830,120,70,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a32247b2784a2c6be6a7f,fulani-sally,"Fulani Sally",4dc262ca-2293-4f60-a084-5dd74980ca33,240,150,,,,,1,TRUE,,0,0,,,Fulani,6904908506411ca2508ad6e5
690a3224b0e6447a2116cd43,fulani-sally,"Fulani Sally",93c69a8a-b767-41c3-88b2-ad092378cab2,240,150,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a3224f50a45aa9eb69b76,fulani-sally,"Fulani Sally",4380dc7e-31dc-4390-b1c3-55873d1f1eee,240,150,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3224a5bb8d906afdd16c,fulani-sally,"Fulani Sally",736639da-937d-4492-a3e0-c220abfb279c,240,150,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a32247a5e50d5e1d68572,fulani-tribal,"Fulani Tribal",1f7693d0-a288-4a37-afa6-fa2d97026b39,300,170,,,,,1,FALSE,,0,0,,,Fulani,6904908506411ca2508ad6e5
690a3225cf35aaa43e0d5059,fulani-tribal,"Fulani Tribal",8cbfa427-d60e-4861-a77a-cb8331141ee1,300,170,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a3224f223293cd78bcb89,fulani-tribal,"Fulani Tribal",abec9082-96a0-4f03-b185-580ff2356086,300,170,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3225cf35aaa43e0d5063,fulani-tribal,"Fulani Tribal",3351a206-577d-4042-838c-7156608dafb2,300,170,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a32245d4494faf61e703d,fulani-tyla-bob,"Fulani Tyla bob",5a8ef43f-859c-461b-a316-6b9d8cd5f15d,180,160,,,,,1,FALSE,,0,0,,,Fulani,6904908506411ca2508ad6e5
690a3224fc9ab5a56926d2ed,fulani-tyla-bob,"Fulani Tyla bob",08edaf56-367c-49a1-9515-983fbf9ffd4a,180,160,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a32245869f8334dad4d05,fulani-tyla-bob,"Fulani Tyla bob",11ba6870-5f55-4dd9-9340-c99bbf2c6e42,180,160,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3225417ad41a0e268c17,fulani-tyla-bob,"Fulani Tyla bob",ce001a3d-c332-4a96-b1d8-6e8fb142ad2e,180,160,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a322837440c957323c664,hit-the-road,"Hit the road",66b336d5-3b24-468b-a604-740d0ba595b2,60,70,,,,,1,FALSE,,0,0,,,Cornrows hommes,68d9066e330ca04c60550b93
690a3228bbd00d06164432fb,hit-the-road,"Hit the road",ef5626fc-7715-44ed-97d6-3e86404b2641,60,70,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a32281ef16c31443c16df,hit-the-road,"Hit the road",b3bc559b-2557-4993-8cbf-302461ae4d21,60,70,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3228454ae7504faf60aa,hit-the-road,"Hit the road",92588df6-1f6a-4119-a695-e4efd891bc6f,60,70,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a3226d9430aeb9079e05e,invisible-locs,"Invisible locs",728c1aa5-75fc-4900-b10e-3ef2e0fe1a4b,210,150,,,,,1,TRUE,,0,0,,,Twists,68d90676efa72bd3848188b3
690a32261054a9d9c11e021c,invisible-locs,"Invisible locs",caf9c09a-2ceb-43da-a43c-c6649f39f8a1,210,150,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a3226f34b7f0b381d77a0,invisible-locs,"Invisible locs",d2032c3c-6bb8-4a1d-bd3f-07ade316e92e,210,150,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a32276c63709ab3d11aff,invisible-locs,"Invisible locs",b40c7453-346e-4d39-8c0b-e859997cd522,210,150,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a322957583a56ba2dd452,invisible-locs-h,"Invisible locs H",5acaebf7-969d-4e78-af72-f9987b29f2a0,180,120,,,,,1,TRUE,,0,0,,,Twists,68d90676efa72bd3848188b3
690a3229f8137ddd76343a9b,invisible-locs-h,"Invisible locs H",2ba834b9-0124-4243-95fe-fcb38efdcc9c,180,120,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a322aa3a77bcd1d85cab1,invisible-locs-h,"Invisible locs H",d99a3dc9-1752-4ba9-aca6-b2f007778c7c,180,120,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a322a9206faafc85e49dc,invisible-locs-h,"Invisible locs H",569247fc-6d5b-4e83-b8d0-91e99bb7be84,180,120,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a322652e2dd7263765a56,jumbo-vanilles,"Jumbo vanilles",00ccf09a-3075-4513-880b-90cd410d2b40,180,130,,,,,1,TRUE,,0,0,,,Vanilles,69049079bd25e6ca6d7a31e8
690a32269dbca691b75b8c78,jumbo-vanilles,"Jumbo vanilles",10c59588-71ce-400c-89fd-b2e5d648f90e,180,130,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a3226204dc907da46a4d8,jumbo-vanilles,"Jumbo vanilles",4d84f07c-2280-4081-b2f7-21204ef8edaf,180,130,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a32272c0c39d81d7e4bda,jumbo-vanilles,"Jumbo vanilles",5629b512-2684-43ed-b8d1-d0c78a05c8c8,180,130,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a322544845d090c3df829,knotless-jumbo,"Knotless Jumbo",35e91870-03a4-4115-8a0d-eb4ccd0ebd85,150,110,,,,,1,TRUE,,0,0,,,Knotless,68d906641b4517e5b721eba7
690a3225ce8e96df7e185e83,knotless-jumbo,"Knotless Jumbo",660402f7-8e72-42b9-bfff-817f47e91619,150,110,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a3225ce8e96df7e185e93,knotless-jumbo,"Knotless Jumbo",9df0cdc8-e22b-48a4-aeb3-51c0c942abbc,150,110,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3225dca41a91b22e7873,knotless-jumbo,"Knotless Jumbo",703ad1ec-e5c4-44e0-9275-c524c11f564e,150,110,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a32253d46917ae0ac0ecd,knotless-medium-small,"Knotless Medium Small",a93f3abd-b247-4a02-811d-9ebfd853f12f,300,150,,,,,1,TRUE,,0,0,,,Knotless,68d906641b4517e5b721eba7
690a3225f85fabf95b516110,knotless-medium-small,"Knotless Medium Small",c8926bbb-8ab4-4293-ba1e-78ecbe9a4a06,300,150,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a32252db63b9ca115a22b,knotless-medium-small,"Knotless Medium Small",f666608f-ea1f-4b1b-9481-d17824ef6cc7,300,150,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a32252b1127bf096acc8a,knotless-medium-small,"Knotless Medium Small",b845f0df-3bfb-472e-9485-e75f490b3129,300,150,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a4360653f9fa06ace3125,pop-smoke,"Pop smoke",ceb6a21d-284e-44c9-815f-b727eb977278,90,70,,,,,1,TRUE,,0,0,,,Cornrows hommes,68d9066e330ca04c60550b93
690a43b13bff00ba13ea1c70,pop-smoke,"Pop smoke",f5492f9a-3f35-47c8-bb48-20bae823584f,90,70,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a438c991eb9bd6a968548,pop-smoke,"Pop smoke",bc24fb63-791b-4a7f-8c1b-37d2eb98a968,90,70,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a43cae0c8c8f4f868446b,pop-smoke,"Pop smoke",c19764bc-ba8d-47f8-afeb-39fbd0490025,90,70,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
69243b406df2b4b178b44abb,ritual-washday,"Ritual Washday",ef2ea1ab-63b1-472e-9eb5-97a3ba21f0d0,60,40,,,,,1,TRUE,,0,0,,,Washday,69243ada31c02047cd706015
690a32284c183b056c53eacd,star-braids,"Star braids",c8bac882-9dd2-45f3-82cd-b10425171e87,120,70,,,,,1,TRUE,,0,0,,,Tresses,690a26410b91249eb6808b6d
690a322899beecd480dcb0a2,star-braids,"Star braids",58204642-2c8b-411c-8927-b2d3a6100f4b,120,70,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a3228654e68e2efe847be,star-braids,"Star braids",f46973cd-c015-4abc-895b-bef6a8f1db74,120,70,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
690a3228a06ee4c05867a1b3,star-braids,"Star braids",a248e34a-e97e-4f8b-8a5e-78a901624532,120,70,,,,,1,FALSE,shampoing-et-soin,35,40,,,,
690a3228c0f3243ffe0f7ff7,stitch-braids-4-nattes,"Stitch braids (4 nattes)",859f67b7-cea6-4ca0-8e8a-069d7e1e1a9d,45,40,,,,,1,TRUE,,0,0,,,Cornrows femmes,690a42d69e65e468cb2a59ff
690a3228a1a0b8e10973e688,stitch-braids-4-nattes,"Stitch braids (4 nattes)",14538f16-ac25-4951-afbb-dd2e57fb9286,45,40,,,,,1,FALSE,coupe-des-pointes,10,20,,,,
690a32289dbca691b75b8d0b,stitch-braids-4-nattes,"Stitch braids (4 nattes)",53e26951-049d-4f4c-ab42-e43151dbcaa0,45,40,,,,,1,FALSE,shampoing-dmlant,20,20,,,,
